,store_name,date,review,photo,length,review_ckeck
6287,딘타이펑 강남점,2021.6.2,느끼해요 맛이 없었어요,0,12,느끼해 요 맛이 없었어요
6288,청류벽,2021.6.20,맛있어요,0,4,맛있어요
6289,고양이부엌,2021.6.20,콩나물 식감이 좋아요,1,11,콩나물 식감이 좋아요
6290,신부자식당,2021.6.20,친구 추천받아서 갔는데 고기 엄청 두툼하고 직접 구워주셔서 편안하고 맛있는 저녁식사 되었습니다 감사합니다,0,58,친구 추천받아서 갔는데 고기 엄청 두툼하고 직접 구워주셔서 편안하고 맛있는 저녁식사되었습니다 감사합니다
6291,딘타이펑 강남점,2021.6.20,존맛탱입니다 웃음 딘타이펑 믿먹,1,17,존 맛 탱입니다 웃음 딘타이펑 밑 먹
6292,파파야리프,2021.6.20,맛잇어요,0,4,맛있어요
6293,느린마을양조장 강남점,2021.6.20,막걸리 맛있어요,0,8,막걸리 맛있어요
6294,시골야채된장,2021.6.21,연예인도 오넹,0,7,연예인도 오네
6295,백억하누 강남본점,2021.6.21,정말 맛있었어요,0,8,정말 맛있었어요
6296,구스아일랜드 브루하우스,2021.6.21,점심메뉴가 좋습니다 매장이 넓직해서 기분 전환이 되네요 ,1,31,점심 메뉴가 좋습니다 매장이 널찍해서 기분 전환이 되네요
6297,딘타이펑 강남점,2021.6.21,매장 내부가 꽤 큽니다 샤오롱바오랑 볶음밥 맛있었어요 우육면은 좀 맑은 느낌이었습니다 ,0,48,매장 내부가 꽤 큽니다 샤오 롤바 오랑 볶음밥 맛있었어요 우육면은 좀 맑은 느낌이었습니다
